model_name,vendor_name,formation_year,age_years,category,status,vendor_maturity,contextwindow_Context window tokens,contextwindow_Category,contextwindow_Source,contextwindow_Notes,latency_support_type,modality_Input modalities,modality_Output modalities,modelspecificity_LLM,modelspecificity_Classification,modelspecificity_Matched Keywords,sourcetype_Source type
Nova Canvas,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image",Image,Amazon,Task-Specific,canvas,closed
Nova Lite,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image, Video",Text,Amazon,Domain-Specific,,closed
Nova Micro,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Text,Amazon,Domain-Specific,,closed
Nova Premier,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image, Video",Text,Amazon,Domain-Specific,,closed
Nova Pro,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image, Video",Text,Amazon,Domain-Specific,,closed
Nova Reel,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image",Video,Amazon,Task-Specific,reel,closed
Nova Sonic,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Speech,"Speech, Text",Amazon,Domain-Specific,,closed
Rerank 1.0,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Text,Amazon,Task-Specific,rerank,closed
Titan Embeddings G1 - Text,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Embedding,Amazon,Task-Specific,"embed, embedding",closed
Titan Image Generator G1 v2,Amazon,1994,30,Technology,Active,mature,,unknown,Image model - not applicable,Image model - context window not applicable,,"Text, Image",Image,Amazon,Task-Specific,image,closed
Titan Image Generator G1,Amazon,1994,30,Technology,Active,mature,,unknown,Image model - not applicable,Image model - context window not applicable,,"Text, Image",Image,Amazon,Task-Specific,image,closed
Titan Multimodal Embeddings G1,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,"Text, Image",Embedding,Amazon,Task-Specific,"embed, embedding",closed
Titan Text Embeddings V2,Amazon,1994,30,Technology,Active,mature,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Embedding,Amazon,Task-Specific,"embed, embedding",closed
Titan Text G1 - Express,Amazon,1994,30,Technology,Active,mature,8192,unknown,https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-titan-text-express.html,"AWS official docs, June 2024",,Text,"Text, Chat",Amazon,Domain-Specific,,closed
Titan Text G1 - Lite,Amazon,1994,30,Technology,Active,mature,8192,unknown,https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-titan-text-lite.html,"AWS official docs, June 2024",,Text,Text,Amazon,Domain-Specific,,closed
Titan Text G1 - Premier,Amazon,1994,30,Technology,Active,mature,8192,unknown,https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-titan-text-premier.html,"AWS official docs, June 2024",,Text,Text,Amazon,Domain-Specific,,closed
DeepSeek-R1,DeepSeek,2023,1,AI Research,Active,emerging,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Text,DeepSeek,Domain-Specific,,unknown
Ray v2,Luma,2021,3,AI Research,Active,emerging,unknown,unknown,unknown,No public info as of 2024-06; checked provider docs and web.,,Text,Video,Luma AI,Domain-Specific,,unknown
GPT-4,OpenAI,2015,9,AI Research,Active,established,,,,,,,,,,,
GPT-4 Turbo,OpenAI,2015,9,AI Research,Active,established,,,,,,,,,,,
GPT-3.5 Turbo,OpenAI,2015,9,AI Research,Active,established,,,,,,,,,,,
GPT-3,OpenAI,2015,9,AI Research,Active,established,,,,,,,,,,,
Gemini Pro,Google,1998,26,Technology,Active,mature,,,,,,,,,,,
Gemini Flash,Google,1998,26,Technology,Active,mature,,,,,,,,,,,
PaLM 2,Google,1998,26,Technology,Active,mature,,,,,,,,,,,
Phi-3,Microsoft,1975,49,Technology,Active,mature,,,,,,,,,,,
Phi-2,Microsoft,1975,49,Technology,Active,mature,,,,,,,,,,,
Nemotron-4,Nvidia,1993,31,Technology,Active,mature,,,,,,,,,,,
CodeLlama,Hugging Face,2016,8,AI Research,Active,established,,,,,,,,,,,
StarCoder,Hugging Face,2016,8,AI Research,Active,established,,,,,,,,,,,
